순위,class,Δ분산,Δ평균거리,RCI,Yaw_impact,Pitch_impact,Roll_impact,축_불균형,RII
1,ㅇ,0.7535452929230421,0.970758598534352,0.882809690214572,0.3967952209892709,0.7354956089305397,0.3737342840691606,0.2025343657130231,0.6787270928641073
2,ㅋ,-0.2516248693564881,1.1912680194843857,0.6367262245929421,1.0,0.4690798898042863,0.261700854718761,0.3807816206012401,0.5599428433954314
3,ㅏ,-0.1381686181181206,1.2679389045640714,0.5916790400097632,0.26010118297454976,0.9601329416200483,0.9815728781503792,0.41049270008341177,0.5373231380318578
4,ㅑ,-0.12005900367117195,1.234655976909752,0.5665379501142414,0.20380404498198168,0.9466507548931052,1.0,0.44508339577475264,0.5301015838123947
5,ㅣ,-0.20675383463047864,1.107172973231077,0.5737908364241253,0.20738663142434977,0.6755831191345456,0.8756214826429007,0.34296771334008086,0.504543899498912
6,ㅁ,-0.15887634464658734,1.175035573579441,0.5687836695280869,0.3355246197233247,1.0,0.6386432780458111,0.33266277532423466,0.4979474012669312
7,ㅛ,-0.14327035476229172,0.9743632988270677,0.4792953664391182,0.2018042268158869,0.42264675900884896,0.9305601781526724,0.373682731288757,0.4476115758940098
8,ㅗ,-0.12365114505267646,1.0075973332092927,0.47938296443600253,0.3089039224701011,0.39073051518669993,0.9336226789249352,0.33953424407327587,0.4374283483271845
9,ㅎ,-0.3498466719497648,0.7183280314723879,0.5153998316644297,0.17644817897632997,0.4196427546260315,0.4821176106560802,0.16149329744855007,0.40922787139966577
10,ㅍ,-0.14484733669922462,0.85929686474973,0.43496635559805125,0.15746750479084437,0.7386180903516176,0.4666429769095153,0.29077366283453676,0.3917085477689969
11,ㅜ,-0.1090890910007056,0.8319582789848669,0.4004589635978214,0.1768159610557032,0.882348040865792,0.3491797389285605,0.3678208861557447,0.39066754036519835
12,ㅂ,-0.06889906790605758,0.945893998480475,0.4187211716808902,0.20993484941269186,0.6784888751093833,0.6175497200185243,0.2547568574015797,0.36953187739709703
13,ㅡ,0.03816651120688902,0.9942488317403715,0.41739747662158194,0.7425535574137597,0.385765650596958,0.39509743573314765,0.20335127618560084,0.3531836164907876
14,ㅠ,-0.13060197654250552,0.8310099440442023,0.4143594440340092,0.2564194802694493,0.6459165881448494,0.40590258243202376,0.19649423987052145,0.34899988278496286
15,ㄷ,-0.11607704489044485,0.8830758766622173,0.42525343416330263,0.46102747089285756,0.6029256645162332,0.3619271562132668,0.12113095580639566,0.3340166906562305
16,ㅅ,-0.09777558498645669,0.9297294461522213,0.4315072686149822,0.5175388272038566,0.535624242144,0.346695836223106,0.10424998190616634,0.33333008260233743
17,ㅈ,-0.21133713935853476,0.6635351553635948,0.4018875198477523,0.25446562796780053,0.4782718993393548,0.3120553421569949,0.11621371560418878,0.3161853785746832
18,ㅕ,-0.1330565829145118,0.7149173080445227,0.37020809018820305,0.1930086912709291,0.5492855341766617,0.4278260063927133,0.1811191031528605,0.3134813940776003
19,ㄱ,-0.08175372513665985,0.6111877116652594,0.2952622901320793,0.13374409651046423,0.5741203619540105,0.257467608883461,0.22712248116639408,0.2748203474423737
20,ㅌ,-0.11275664525719109,0.5997721082401614,0.3113320236868089,0.16022806921914615,0.32556081135279774,0.42953870801113186,0.1358151555003289,0.2586769632308649
21,ㅓ,-0.07370419994906344,0.6393796322710621,0.3010384112957635,0.1856495420128121,0.48883920135529285,0.3663827498043259,0.1525254320090447,0.2564845175097478
22,ㅊ,-0.10833322883465615,0.5273284219432244,0.2798294548382311,0.1462150864229846,0.4216613744132733,0.2478296792688436,0.13929204409180773,0.23766823161430406
23,ㄴ,-0.01906631802987871,0.5741330668742577,0.23905515021492546,0.14360815093932738,0.37737357802629234,0.34799980674389186,0.12733488805968396,0.205539071568353
24,ㄹ,-0.03635031087064583,0.5504400397122661,0.2411804735887735,0.1642375317385092,0.2969620743383188,0.3716402145974473,0.10504641965814922,0.2003402574095862
