,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,256540469.0,1999627063955390.8,37503.97,-87675.88,-33665.4,906929.0,875669.0,882712.0,1032629.0,1004685.0,41745.6486,-614.451,-929.112,212.225
mean,225233.072,1755598827002.099,32.9271,-76.9762,-29.557,796.2502,768.8051,774.9886,906.6102,882.0764,36.6511,-0.5395,-0.8157,0.1863
var,91475106.5818,90673074.8891,1.6928,3.0504,0.5209,30.5604,16.1711,11.2591,28.7249,34.4414,41.2556,0.0003,0.0001,0.0007
std,9564.2619,9522.2411,1.3011,1.7465,0.7217,5.5281,4.0213,3.3555,5.3596,5.8687,6.423,0.0183,0.0085,0.0266
median,225235.0,1755598827096.0,33.27,-77.56,-29.31,795.0,769.0,775.0,906.0,882.0,33.3333,-0.542,-0.817,0.175
min,203275.0,1755598810601.0,30.44,-78.86,-31.0,784.0,758.0,766.0,890.0,865.0,33.3333,-0.684,-0.829,0.155
max,241690.0,1755598843388.0,42.76,-63.8,-20.91,817.0,781.0,785.0,923.0,903.0,50.0,-0.503,-0.696,0.312
q1,217110.0,1755598818965.0,32.105,-78.38,-29.55,793.0,766.0,773.0,903.0,878.0,33.3333,-0.555,-0.82,0.165
q3,233562.0,1755598836318.0,33.87,-75.735,-29.23,799.0,772.0,777.0,910.0,885.0,34.4828,-0.531,-0.811,0.203
